малявка	noun		очень маленькая рыбка.	0|то же, что малек.	none
малявка	noun		очень маленькая рыбка.	1|о ребенке или человеке маленького роста.	none
малявка	noun		о человекемаленького роста или о ребенке.	0|то же, что малек.	none
малявка	noun		о человекемаленького роста или о ребенке.	1|о ребенке или человеке маленького роста.	none
бзик	noun		странность, причуда.	0|странность, причуда.	none
максимальный	adjective		наибольший в ряду других, предельный.	0|самый большой, наибольший в ряду других, предельный.	none
прятать	verb		убирать, помещать вскрытое, неизвестное другим место или под запор; вообще убирать в надежное, место для сохранности.	0|помещать в тайное место, укрытие, чтобы другие не могли найти, заметить.	none
прятать	verb		убирать, помещать вскрытое, неизвестное другим место или под запор; вообще убирать в надежное, место для сохранности.	1|помещать, класть куда-л. для сохранности, предохранения от чего-л.	none
прятать	verb		жестом прикрывать, закрывать чем-н.	0|помещать в тайное место, укрытие, чтобы другие не могли найти, заметить.	none
прятать	verb		жестом прикрывать, закрывать чем-н.	1|помещать, класть куда-л. для сохранности, предохранения от чего-л.	none
прятать	verb		скрывать, стараться не обнаружить.	0|помещать в тайное место, укрытие, чтобы другие не могли найти, заметить.	none
прятать	verb		скрывать, стараться не обнаружить.	1|помещать, класть куда-л. для сохранности, предохранения от чего-л.	none
религия	noun		одна из форм общественного сознания – совокупность духовных представлений, основывающихся на вере в сверхъестественные силы и существа (богов, духов), к-рые являются предметом поклонения.	0|мировоззрение, несовместимое с научным миропониманием, основанное на вере в существование бога, сверхъестественных сил, управляющих миром.	none
религия	noun		одна из форм общественного сознания – совокупность духовных представлений, основывающихся на вере в сверхъестественные силы и существа (богов, духов), к-рые являются предметом поклонения.	1|||та или иная вера; вероисповедание.	none
религия	noun		одна из форм общественного сознания – совокупность духовных представлений, основывающихся на вере в сверхъестественные силы и существа (богов, духов), к-рые являются предметом поклонения.	2|то, чему поклоняются, во что слепо верят.	none
религия	noun		одно из направлений такого общественного сознания. мировые религии (буддизм, ислам, христианство).	0|мировоззрение, несовместимое с научным миропониманием, основанное на вере в существование бога, сверхъестественных сил, управляющих миром.	none
религия	noun		одно из направлений такого общественного сознания. мировые религии (буддизм, ислам, христианство).	1|||та или иная вера; вероисповедание.	none
религия	noun		одно из направлений такого общественного сознания. мировые религии (буддизм, ислам, христианство).	2|то, чему поклоняются, во что слепо верят.	none
религия	noun		сложившиеся непоколебимые убеждения, безусловная преданность какой-н. идее, принципу, нравственному закону, ценности.	0|мировоззрение, несовместимое с научным миропониманием, основанное на вере в существование бога, сверхъестественных сил, управляющих миром.	none
религия	noun		сложившиеся непоколебимые убеждения, безусловная преданность какой-н. идее, принципу, нравственному закону, ценности.	1|||та или иная вера; вероисповедание.	none
религия	noun		сложившиеся непоколебимые убеждения, безусловная преданность какой-н. идее, принципу, нравственному закону, ценности.	2|то, чему поклоняются, во что слепо верят.	none
щи	noun		жидкое кушанье, род супа из капусты или щавеля, шпината.	0|жидкое кушанье из рубленой капусты, а также из щавеля, шпината и т. п.	none
завтра	adverb		на следующий день после сегодняшнего.	0|на следующий день после сегодняшнего.	none
завтра	adverb		на следующий день после сегодняшнего.	1||| в недалеком будущем, скоро.	none
завтра	adverb		в недалеком будущем.	0|на следующий день после сегодняшнего.	none
завтра	adverb		в недалеком будущем.	1||| в недалеком будущем, скоро.	none
фаянс	noun		мелкопористый, обычно белый керамический материал, по составу напоминающий фарфор.	0|искусственно приготовляемая минеральная масса из особых сортов глины с примесью гипса и других веществ, идущая на керамические изделия.	none
фаянс	noun		мелкопористый, обычно белый керамический материал, по составу напоминающий фарфор.	1|изделия из такой массы, обожженные и докрытые глазурью.	none
