управител	noun	m	главен ръководител на обществена служба, търговско или промишлено предприятие и др.	лице, което пряко ръководи учреждение, предприятие, ресторант, имение и др.	exact
управител	noun	m	главен ръководител на обществена служба, търговско или промишлено предприятие и др.	лице, което пряко ръководи учреждение, предприятие, ресторант, имение и др.	exact
управител	noun	m	длъжност на ръководител на обществена служба, търговско или промишлено предприятие и др.	лице, което пряко ръководи учреждение, предприятие, ресторант, имение и др.	related
управител	noun	m	длъжност на ръководител на обществена служба, търговско или промишлено предприятие и др.	лице, което пряко ръководи учреждение, предприятие, ресторант, имение и др.	related
управител	noun	m	лице, което има служба да надзирава, да наглежда, да наблюдава, или да управлява някого или нещо.	лице, което пряко ръководи учреждение, предприятие, ресторант, имение и др.	broader
управител	noun	m	лице, което има служба да надзирава, да наглежда, да наблюдава, или да управлява някого или нещо.	лице, което пряко ръководи учреждение, предприятие, ресторант, имение и др.	narrower
ядене	noun	n	това, което живите същества и растенията поемат в себе си, за да поддържат живота и развитието си.	храна.	exact
ядене	noun	n	това, което живите същества и растенията поемат в себе си, за да поддържат живота и развитието си.	храна.	exact
ядене	noun	n	готвено ядене.	храна.	narrower
ядене	noun	n	готвено ядене.	храна.	broader
ядене	noun	n	вид храна, обикновено сготвена, която се сервира и консумира за обяд, вечеря или през друго време на деня.	храна.	narrower
ядене	noun	n	вид храна, обикновено сготвена, която се сервира и консумира за обяд, вечеря или през друго време на деня.	храна.	broader
агент	noun	m	лице, което действа от името на някого или нещо, като представлява организация, учреждение и под.	човек, който действа по чужда поръчка, извършва работа на другиго.	exact
агент	noun	m	лице, което действа от името на някого или нещо, като представлява организация, учреждение и под.	човек, който действа по чужда поръчка, извършва работа на другиго.	exact
агент	noun	m	лице, което действа от името на някого или нещо, като представлява организация, учреждение и под.	действаща причина.	none
агент	noun	m	цивилен, обикновено таен полицейски служител.	човек, който действа по чужда поръчка, извършва работа на другиго.	none
агент	noun	m	цивилен, обикновено таен полицейски служител.	действаща причина.	none
амбиция	noun	f	силен стремеж, желание, мобилизиране на цялата енергия и сили към постигане на нещо, към успех в нещо.	силно желание за постигане на определена цел, мотивация за успех, целеустременост.	exact
амбиция	noun	f	силен стремеж, желание, мобилизиране на цялата енергия и сили към постигане на нещо, към успех в нещо.	силно желание за постигане на определена цел, мотивация за успех, целеустременост.	exact
амбиция	noun	f	силен стремеж, желание, мобилизиране на цялата енергия и сили към постигане на нещо, към успех в нещо.	може да се тълкува като честолюбие.	none
буква	noun	f	отделен знак от азбуката.	знак от азбуката.	exact
буква	noun	f	отделен знак от азбуката.	знак от азбуката.	exact
вещество	noun	n	това, от което се състоят нещата в света.	вещество е това,което изгражда всяко нещо около нас.	related
вещество	noun	n	това, от което се състоят нещата в света.	вещество е това,което изгражда всяко нещо около нас.	related
вещество	noun	n	това, от което предметите, нещата се състоят.	вещество е това,което изгражда всяко нещо около нас.	exact
вещество	noun	n	това, от което предметите, нещата се състоят.	вещество е това,което изгражда всяко нещо около нас.	exact
въжделение	noun	n	силно, страстно влечение, стремеж към нещо, нужда от нещо.	желание, искане, стремеж, копнеж, блян, мечта, стремление, цел, очакване, намерение, порив.	exact
въжделение	noun	n	силно, страстно влечение, стремеж към нещо, нужда от нещо.	желание, искане, стремеж, копнеж, блян, мечта, стремление, цел, очакване, намерение, порив.	exact
въжделение	noun	n	силно желание за постигане на нещо.	желание, искане, стремеж, копнеж, блян, мечта, стремление, цел, очакване, намерение, порив.	broader
въжделение	noun	n	силно желание за постигане на нещо.	желание, искане, стремеж, копнеж, блян, мечта, стремление, цел, очакване, намерение, порив.	narrower
гозба	noun	f	готвено ядене.	ястие, манджа.	exact
гозба	noun	f	готвено ядене.	ястие, манджа.	exact
гозба	noun	f	вид храна, обикновено сготвена, която се сервира и консумира за обяд, вечеря или през друго време на деня.	ястие, манджа.	related
гозба	noun	f	вид храна, обикновено сготвена, която се сервира и консумира за обяд, вечеря или през друго време на деня.	ястие, манджа.	related
дискусия	noun	f	обсъждане на спорен научен, обществен или друг въпрос, проблем.	средство за изясняване на спорни въпроси и за постигане на съгласие между хора с различни позиции.	exact
дискусия	noun	f	обсъждане на спорен научен, обществен или друг въпрос, проблем.	средство за изясняване на спорни въпроси и за постигане на съгласие между хора с различни позиции.	exact
дискусия	noun	f	дискусия за нещо, словесна борба за доказване на различни, противоположни мнения, възгледи.	средство за изясняване на спорни въпроси и за постигане на съгласие между хора с различни позиции.	broader
