squall	verb		blow in a squall	to cry out; to scream or cry violently, as a woman frightened, or a child in anger or distress; .	none
squall	verb		make high-pitched, whiney noises	to cry out; to scream or cry violently, as a woman frightened, or a child in anger or distress; .	none
squall	verb		utter a sudden loud cry	to cry out; to scream or cry violently, as a woman frightened, or a child in anger or distress; .	broader
squall	verb		to cry out; to scream or cry violently, as a woman frightened, or a child in anger or distress; .	utter a sudden loud cry	narrower
tumid	adjective		abnormally distended especially by fluids or gas	swelled, enlarged, or distended;	narrower
tumid	adjective		swelled, enlarged, or distended;	abnormally distended especially by fluids or gas	broader
tumid	adjective		abnormally distended especially by fluids or gas	rising above the level; protuberant.	none
tumid	adjective		abnormally distended especially by fluids or gas	swelling in sound or sense; pompous; puffy; inflated; bombastic; falsely sublime; turgid; .	none
tumid	adjective		ostentatiously lofty in style	swelled, enlarged, or distended;	none
tumid	adjective		ostentatiously lofty in style	rising above the level; protuberant.	none
tumid	adjective		ostentatiously lofty in style	swelling in sound or sense; pompous; puffy; inflated; bombastic; falsely sublime; turgid; .	broader
tumid	adjective		swelling in sound or sense; pompous; puffy; inflated; bombastic; falsely sublime; turgid; .	ostentatiously lofty in style	narrower
tumid	adjective		of sexual organs; stiff and rigid	swelled, enlarged, or distended;	none
tumid	adjective		of sexual organs; stiff and rigid	rising above the level; protuberant.	none
tumid	adjective		of sexual organs; stiff and rigid	swelling in sound or sense; pompous; puffy; inflated; bombastic; falsely sublime; turgid; .	none
commentator	noun		a writer who reports and analyzes events of the day	one who writes a commentary or comments; an expositor; an annotator.	exact
commentator	noun		one who writes a commentary or comments; an expositor; an annotator.	a writer who reports and analyzes events of the day	exact
commentator	noun		an expert who observes and comments on something	one who writes a commentary or comments; an expositor; an annotator.	narrower
commentator	noun		one who writes a commentary or comments; an expositor; an annotator.	an expert who observes and comments on something	broader
idyllic	adjective		excellent and delightful in all respects	of or belonging to idyls.	none
idyllic	adjective		suggestive of an idyll; charmingly simple and serene	of or belonging to idyls.	broader
idyllic	adjective		of or belonging to idyls.	suggestive of an idyll; charmingly simple and serene	narrower
nones	noun		a canonical hour that is the ninth hour of the day counting from sunrise	the fifth day of the months january, february, april, june, august, september, november, and december, and the seventh day of march, may, july, and october.  the  were nine days before the ides, reckoning inclusively, according to the roman method.	none
nones	noun		a canonical hour that is the ninth hour of the day counting from sunrise	the canonical office, being a part of the breviary, recited at noon (formerly at the ninth hour, 3 ) in the roman catholic church.	related
nones	noun		the canonical office, being a part of the breviary, recited at noon (formerly at the ninth hour, 3 ) in the roman catholic church.	a canonical hour that is the ninth hour of the day counting from sunrise	related
nones	noun		a canonical hour that is the ninth hour of the day counting from sunrise	the hour of dinner; the noonday meal.	none
nones	noun		a service in the roman catholic church formerly read or chanted at 3 pm (the ninth hour counting from sunrise) but now somewhat earlier	the fifth day of the months january, february, april, june, august, september, november, and december, and the seventh day of march, may, july, and october.  the  were nine days before the ides, reckoning inclusively, according to the roman method.	none
nones	noun		a service in the roman catholic church formerly read or chanted at 3 pm (the ninth hour counting from sunrise) but now somewhat earlier	the canonical office, being a part of the breviary, recited at noon (formerly at the ninth hour, 3 ) in the roman catholic church.	exact
