achoimre	noun		leagan gearr.	cuntas giorraithe agus gan tugtha ach na príomhphointí	broader
achoimre	noun		leagan gearr.	cuntas giorraithe agus gan tugtha ach na príomhphointí	narrower
gainéad	noun		(éaneolaíocht) éan farraige den ghéineas morus a bheireann ar éisc trí thumadh san fharraige.  tá trí ghné ann: m. bassana san atlantach thuaidh, m. serrator san astraláise agus tá m. capiensis le fáil i bhfarraigí deisceartacha na hafraice.  bíonn morus bassana an-choitianta ar chóstaí na héireann.	an t-éan farraige is mó ar chóstaí na héireann	exact
gainéad	noun		(éaneolaíocht) éan farraige den ghéineas morus a bheireann ar éisc trí thumadh san fharraige.  tá trí ghné ann: m. bassana san atlantach thuaidh, m. serrator san astraláise agus tá m. capiensis le fáil i bhfarraigí deisceartacha na hafraice.  bíonn morus bassana an-choitianta ar chóstaí na héireann.	an t-éan farraige is mó ar chóstaí na héireann	exact
ceamara	noun		gléas a dhéanann grianghraif nó pictiúir teilifíse. grianghrafadán	gléas ar nós bosca beag chun pictiúir a thógáil	broader
ceamara	noun		gléas a dhéanann grianghraif nó pictiúir teilifíse. grianghrafadán	gléas ar nós bosca beag chun pictiúir a thógáil	narrower
ola	noun		ceann ar bith de na leachtanna sleamhaine greamaitheacha atá domheasctha san uisce ach inmheasctha in olaí eile nó i dtuaslagóirí.	leacht sleamhain ramhar a bhaintear as ainmhithe, as plandaí agus as mianraí	none
ola	noun		ceann ar bith de na leachtanna sleamhaine greamaitheacha atá domheasctha san uisce ach inmheasctha in olaí eile nó i dtuaslagóirí.	ungadh	none
ola	noun		(eaglaiseoireacht) = an ola dhéanach.	leacht sleamhain ramhar a bhaintear as ainmhithe, as plandaí agus as mianraí	none
ola	noun		(eaglaiseoireacht) = an ola dhéanach.	ungadh	none
ola	noun		(fáthchiallach) ungadh, balsam.	leacht sleamhain ramhar a bhaintear as ainmhithe, as plandaí agus as mianraí	none
ola	noun		(fáthchiallach) ungadh, balsam.	ungadh	exact
ola	noun		(fáthchiallach) ungadh, balsam.	ungadh	exact
céim	noun		coiscéim.	coiscéim	exact
céim	noun		coiscéim.	coiscéim	exact
céim	noun		coiscéim.	ardú	none
céim	noun		coiscéim.	ísliú	none
céim	noun		coiscéim.	ardú amháin i staighre nó i ndréimire	none
céim	noun		coiscéim.	aonad tomhais	none
céim	noun		coiscéim.	seasamh nó stádas saoil	none
céim	noun		coiscéim.	gradam ollscoile	none
céim	noun		coiscéim.	cruatan	none
céim	noun		aonad tomhais.	coiscéim	none
céim	noun		aonad tomhais.	ardú	none
céim	noun		aonad tomhais.	ísliú	none
céim	noun		aonad tomhais.	ardú amháin i staighre nó i ndréimire	none
céim	noun		aonad tomhais.	aonad tomhais	exact
céim	noun		aonad tomhais.	aonad tomhais	exact
céim	noun		aonad tomhais.	seasamh nó stádas saoil	none
céim	noun		aonad tomhais.	gradam ollscoile	none
céim	noun		aonad tomhais.	cruatan	none
céim	noun		(fisic) aonad tomhais le teocht a mheas. mar shampla celcius, nó fahrenheit.	coiscéim	none
céim	noun		(fisic) aonad tomhais le teocht a mheas. mar shampla celcius, nó fahrenheit.	ardú	none
céim	noun		(fisic) aonad tomhais le teocht a mheas. mar shampla celcius, nó fahrenheit.	ísliú	none
céim	noun		(fisic) aonad tomhais le teocht a mheas. mar shampla celcius, nó fahrenheit.	ardú amháin i staighre nó i ndréimire	none
céim	noun		(fisic) aonad tomhais le teocht a mheas. mar shampla celcius, nó fahrenheit.	aonad tomhais	narrower
céim	noun		(fisic) aonad tomhais le teocht a mheas. mar shampla celcius, nó fahrenheit.	aonad tomhais	broader
céim	noun		(fisic) aonad tomhais le teocht a mheas. mar shampla celcius, nó fahrenheit.	seasamh nó stádas saoil	none
céim	noun		(fisic) aonad tomhais le teocht a mheas. mar shampla celcius, nó fahrenheit.	gradam ollscoile	none
céim	noun		(fisic) aonad tomhais le teocht a mheas. mar shampla celcius, nó fahrenheit.	cruatan	none
céim	noun		(céimseata) aonad tomhais le huillinn a mheas.  is cothrom le 1/360 imlíne ciorcal í.	coiscéim	none
céim	noun		(céimseata) aonad tomhais le huillinn a mheas.  is cothrom le 1/360 imlíne ciorcal í.	ardú	none
céim	noun		(céimseata) aonad tomhais le huillinn a mheas.  is cothrom le 1/360 imlíne ciorcal í.	ísliú	none
céim	noun		(céimseata) aonad tomhais le huillinn a mheas.  is cothrom le 1/360 imlíne ciorcal í.	ardú amháin i staighre nó i ndréimire	none
céim	noun		(céimseata) aonad tomhais le huillinn a mheas.  is cothrom le 1/360 imlíne ciorcal í.	aonad tomhais	narrower
céim	noun		(céimseata) aonad tomhais le huillinn a mheas.  is cothrom le 1/360 imlíne ciorcal í.	aonad tomhais	broader
